datatype,wiki_word,qid
brief summary,summary,Q776754
easy summary,summary,Q776754
post summary,summary,Q776754
abstractive summary,abstract,Q333291
abstract summary,abstract,Q333291
eeg signal,electroencephalography,Q179965
brain activity signal,electroencephalography,Q179965
eeg data,electroencephalography,Q179965
brainwave signal,electroencephalography,Q179965
raw eeg data,electroencephalography,Q179965
newborn eeg data,electroencephalography,Q179965
59channel eeg data,electroencephalography,Q179965
ecg signal,electrocardiography,Q79785
ekg signal,electrocardiography,Q79785
cardiac signal,electrocardiography,Q79785
emg signal,electromyography,Q507369
electromyographic signal,electromyography,Q507369
eog signal,electrooculography,Q420647
ecog signal,electrooculography,Q420647
polysomnographic signal,Q1754874,polysomnographic
polysomnography signal,Q1754874,polysomnographic
movie clip,film clip,Q128696755
film clip,film clip,Q128696755
web video clip,video clip,Q677466
drone video clip,video clip,Q677466
music room video clip,video clip,Q677466
variety show clip,video clip,Q677466
youtube lifestyle vlog clip,video clip,Q677466
animal video clip,video clip,Q677466
highlight clip,video clip,Q677466
real estate video clip,video clip,Q677466
podcast clip,video clip,Q677466
comedy clip,video clip,Q677466
diverse video clip,video clip,Q677466
time lapse video clip,video clip,Q677466
demonstration clip,video clip,Q677466
cartoon video clip,video clip,Q677466
badminton match clip,video clip,Q677466
ct scan,computed tomography,Q32566
chest ct scan,computed tomography,Q32566
computed tomography (ct) scan,computed tomography,Q32566
xray ct scan,computed tomography,Q32566
mri scan,neuroimaging,Q551875
brain scan,neuroimaging,Q551875
ultrasound brain scan,neuroimaging,Q551875
mri brain scan,neuroimaging,Q551875
3d object scan,3D scanning,Q94701573
3d scan,3D scanning,Q94701573
partial 3d scan,3D scanning,Q94701573
3d scene scan,3D scanning,Q94701573
3d lidar scan,lidar,Q504027
2d laser scan,lidar,Q504027
stereo lidar scan,lidar,Q504027
2d lidar scan,lidar,Q504027
3d ct scan,computed tomography,Q32566
3d mri scan,computed tomography,Q32566
3d head and neck ct scan,computed tomography,Q32566
oct b scan,optical coherence tomography,Q899552
oct scan,optical coherence tomography,Q899552
retinal oct b scan,Retinal scan,Q3329841
retinal oct scan,Retinal scan,Q3329841
legal document,legal instrument,Q3150005
legal case document,legal instrument,Q3150005
government document,legal instrument,Q3150005
medical document,legal instrument,Q3150005
judgment document,legal instrument,Q3150005
technical document,legal instrument,Q3150005
formal document,legal instrument,Q3150005
legislative document,legal instrument,Q3150005
court document,legal instrument,Q3150005
regulatory document,legal instrument,Q3150005
financial document,financial document,Q131866763
financial transaction document,financial document,Q131866763
bilingual document,bilingual inscription,Q861809
monolingual document,bilingual inscription,Q861809
translated document,bilingual inscription,Q861809
retrieved document,document retrieval,Q1638872
query document,document retrieval,Q1638872
apk file,APK,Q596391
manifest file,APK,Q596391
semantic relation,semantic relation,Q2268906
semantic relationship,semantic relation,Q2268906
semantic parse,semantic parsing,Q55632839
semantic parsing,semantic parsing,Q55632839
semantic rating,semantic similarity,Q2268914
semantic similarity score,semantic similarity,Q2268914
entity,entity,Q35120
entity type,entity,Q35120
entity record,entity,Q35120
entity entry,entity,Q35120
entity relation,entity-relationship model,Q624546
entity relationship,entity-relationship model,Q624546
entity linking,entity linking,Q17012245
entity link,entity linking,Q17012245
entity alignment link,entity linking,Q17012245
entity uri,entity linking,Q17012245
entity linking example,entity linking,Q17012245
product category,product category,Q63981612
product names and category,product category,Q63981612
product classification,product category,Q63981612
traffic surveillance,traffic,Q4323994
traffic scenario,traffic,Q4323994
traffic reading,traffic,Q4323994
traffic measurement,traffic,Q4323994
traffic participant class,traffic,Q4323994
traffic pattern,traffic,Q4323994
traffic flow,traffic,Q4323994
traffic ranking,traffic,Q4323994
traffic sensor,traffic,Q4323994
traffic trace,traffic,Q4323994
traffic report,traffic,Q4323994
traffic flow simulation,traffic,Q4323994
traffic participant trajectory,traffic,Q4323994
traffic volume,traffic,Q4323994
traffic speed,traffic,Q4323994
traffic sign,traffic sign,Q170285
traffic sign recognition,traffic sign,Q170285
traffic light mask type,traffic sign,Q170285
traffic sign type,traffic sign,Q170285
traffic element,traffic element,Q2516172
traffic element attribute,traffic element,Q2516172
traffic light status,traffic light,Q8004
traffic light state,traffic light,Q8004
time series,time series,Q186588
forecasting time series,time series,Q186588
meteorology time series,time series,Q186588
real time series,time series,Q186588
satellite image time series,time series,Q186588
satellite imagery time series,time series,Q186588
biology time series,time series,Q186588
nature time series,time series,Q186588
optical image time series,time series,Q186588
optical time series,time series,Q186588
feature vector,feature vector,Q1921842
gaze vector,feature vector,Q1921842
lighting vector,feature vector,Q1921842
label vector,feature vector,Q1921842
float vector,feature vector,Q1921842
traffic data,Traffic,Q1572846
traffic speed data,Traffic,Q1572846
traffic flow data,Traffic,Q1572846
traffic simulation data,Traffic,Q1572846
taxi data,Traffic,Q1572846
traffic occupancy data,Traffic,Q1572846
bike flow data,Traffic,Q1572846
taxi flow data,Traffic,Q1572846
flow data,Traffic,Q1572846
taxi speed data,Traffic,Q1572846
traffic load data,Traffic,Q1572846
accelerometer data,accelerometer,Q192940
3d accelerometer data,accelerometer,Q192940
accelerometric data,accelerometer,Q192940
gps data,GPS data,Q125301808
gps position data,GPS data,Q125301808
time series data,time series,Q186588
timestamp data,time series,Q186588
time data,time series,Q186588
labeled time series data,time series,Q186588
gene expression data,gene expression data,Q105771078
protein data,gene expression data,Q105771078
cancer expression data,gene expression data,Q105771078
protein expression data,gene expression data,Q105771078
motion data,motion,Q452237
motion capture data,motion,Q452237
motion sensor data,motion,Q452237
motion and location data,motion,Q452237
financial data,financial data,Q103890060
economic data,financial data,Q103890060
price data,financial data,Q103890060
mid price data,financial data,Q103890060
crypto exchange data,financial data,Q103890060
stock exchange data,financial data,Q103890060
stock market data,financial data,Q103890060
trading data,financial data,Q103890060
eye fixation data,eye tracking,Q970687
eye gaze data,eye tracking,Q970687
eye tracking data,eye tracking,Q970687
gaze data,eye tracking,Q970687
eye movement data,eye tracking,Q970687
gaze tracking data,eye tracking,Q970687
pupil tracking data,eye tracking,Q970687
energy consumption data,energy,Q11379
power consumption data,energy,Q11379
electricity consumption data,energy,Q11379
power data,energy,Q11379
electricity data,energy,Q11379
clinical data,clinical data,Q67565549
standardized clinical data,clinical data,Q67565549
medical data,clinical data,Q67565549
patient data,clinical data,Q67565549
clinical trial data,clinical data,Q67565549
patient treatment data,clinical data,Q67565549
clinical outcome data,clinical data,Q67565549
patient clinical data,clinical data,Q67565549
spoken medical data,clinical data,Q67565549
lidar data,LIDAR data,Q124439708
3d lidar data,LIDAR data,Q124439708
2d lidar data,LIDAR data,Q124439708
rasterized lidar data,LIDAR data,Q124439708
meteorological data,meteorological data,Q118325618
meteorology data,meteorological data,Q118325618
weather data,meteorological data,Q118325618
weather forecast data,meteorological data,Q118325618
weather conditions data,meteorological data,Q118325618
weather sensor data,meteorological data,Q118325618
geolocation data,location data,Q60474237
location data,location data,Q60474237
geo positioning data,location data,Q60474237
raw sensor data,sensor data,Q45940104
sensor data,sensor data,Q45940104
environmental sensor data,sensor data,Q45940104
mobile sensor data,sensor data,Q45940104
sensor suite data,sensor data,Q45940104
smartphone sensor data,sensor data,Q45940104
transaction data,transaction data,Q7833714
blockchain transaction data,transaction data,Q7833714
blockchain data,transaction data,Q7833714
radar data,radar,Q47528
radar localization data,radar,Q47528
3+1d radar data,radar,Q47528
radar imaging data,radar,Q47528
odometry data,odometry,Q2014717
wheel odometry data,odometry,Q2014717
event data,Event data,Q5416716
event stream data,Event data,Q5416716
calibration data,calibration,Q736777
photometric calibration data,calibration,Q736777
sensor calibration data,calibration,Q736777
ground truth data,GroundTruth,Q101379068
groundtruth data,GroundTruth,Q101379068
ground truth source data,GroundTruth,Q101379068
table data,tabular data,Q108855315
tabular data,tabular data,Q108855315
spreadsheet data,tabular data,Q108855315
single cell data,tabular data,Q108855315
click data,click,Q107370303
clickstream data,click,Q107370303
synthetic data,synthetic data,Q7662746
synthetic numerical data,synthetic data,Q7662746
position data,position,Q1781513
positioning data,position,Q1781513
positional data,position,Q1781513
statistical data,statistical data,Q35308049
regression data,statistical data,Q35308049
statistical model data,statistical data,Q35308049
interaction data,Interaction,Q4641997
interaction depth data,Interaction,Q4641997
real time interaction data,Interaction,Q4641997
pose data,Pose,Q30603704
6d object pose data,Pose,Q30603704
robot pose data,Pose,Q30603704
sensor pose data,Pose,Q30603704
classification data,classification,Q13582682
training data,classification,Q13582682
classification tasks data,classification,Q13582682
skeleton data,skeleton,Q186190
tracked skeleton data,skeleton,Q186190
3d skeletal data,skeleton,Q186190
skeleton kinematics data,skeleton,Q186190
magnetometer data,magnetometer,Q333921
magnetic field data,magnetometer,Q333921
forecast data,Forecast,Q62032785
global forecasting data,Forecast,Q62032785
vibration data,vibration,Q3695508
temple vibration pickup data,vibration,Q3695508
structured data,structured data,Q26813700
linked data,structured data,Q26813700
rdf data,structured data,Q26813700
altitude data,altitude,Q190200
elevation data,altitude,Q190200
fall depth data,altitude,Q190200
temperature data,temperature,Q11466
temperature field data,temperature,Q11466
temperature sensor data,temperature,Q11466
frequency data,spectrum,Q654182
spectral data,spectrum,Q654182
spectrum data,spectrum,Q654182
rotation rate data,rotation,Q107617
rotation data,rotation,Q107617
orientation data,rotation,Q107617
angular velocity data,rotation,Q107617
ray tracing data,illuminance,Q194411
ambient light data,illuminance,Q194411
illuminance data,illuminance,Q194411
light field data,illuminance,Q194411
gene mutation data,mutation,Q42918
mutation data,mutation,Q42918
mutation presence data,mutation,Q42918
mutation type data,mutation,Q42918
environmental data,environmental data,Q5381206
meg data,environmental data,Q5381206
nmr data,environmental data,Q5381206
oceanographic data,environmental data,Q5381206
seismic survey data,environmental data,Q5381206
sales data,sales data,Q336127
rental property data,sales data,Q336127
sales property data,sales data,Q336127
discount data,sales data,Q336127
customer purchase data,sales data,Q336127
property data,sales data,Q336127
credit card client data,sales data,Q336127
sales forecast data,sales data,Q336127
feature data,sales data,Q336127
item data,sales data,Q336127
imu measurement,measurement,Q12453
imu reading,measurement,Q12453
imu,measurement,Q12453
imu time series,measurement,Q12453
imu stream,measurement,Q12453
wearable sensor data,sensor data,Q45940104
complementary sensor data,sensor data,Q45940104
raspberry pi sensor data,sensor data,Q45940104
resampled sensor data,sensor data,Q45940104
multi sensor fusion data,sensor data,Q45940104
door sensor data,sensor data,Q45940104
acceleration data,acceleration,Q11376
bearing acceleration data,acceleration,Q11376
momentum data,acceleration,Q11376
wind speed data,Wind simulation,Q22269363
wind sensor data,Wind simulation,Q22269363
wind power data,Wind simulation,Q22269363
3d wind simulation data,Wind simulation,Q22269363
cfd simulation data,Wind simulation,Q22269363
raw data,raw data,Q2110223
real data,raw data,Q2110223
map data,map data,Q60475632
coordinate data,map data,Q60475632
projection data,map data,Q60475632
manipulator motion data,motion,Q452237
gait data,motion,Q452237
head movement data,motion,Q452237
forehead vibration sensor data,motion,Q452237
arm motion data,motion,Q452237
temporal data,Temporal,Q98889848
historical data,Temporal,Q98889848
electromyography data,Electromyography,Q27710763
surgical motion data,Electromyography,Q27710763
kinesthetic data,Electromyography,Q27710763
mesh data,Mesh,Q37561088
visuospatial data,Mesh,Q37561088
voxel data,Mesh,Q37561088
automotive bus data,Bus,Q989190
vehicle human control data,Bus,Q989190
car following data,Bus,Q989190
bus idling data,Bus,Q989190
response time data,response time,Q578372
student performance data,response time,Q578372
throughput data,response time,Q578372
performance data,response time,Q578372
biomarker data,Genomics Data,Q27725685
b cell analysis data,Genomics Data,Q27725685
epigenetic data,Genomics Data,Q27725685
synthetic genomics data,Genomics Data,Q27725685
sentence,sentence,Q41796
story sentence,sentence,Q41796
sentence pair,Pair,Q37174797
paired sentence,Pair,Q37174797
multilingual sentence,Multilingual,Q96716753
monolingual sentence,Multilingual,Q96716753
bilingual sentence,Multilingual,Q96716753
word embedding,word embedding,Q18395344
sentence embedding,word embedding,Q18395344
language embedding,word embedding,Q18395344
natural language sentence,natural language,Q33742
english sentence,natural language,Q33742
text classification,text classification,Q102190569
sentence classification,text classification,Q102190569
sentence pair classification,text classification,Q102190569
sentence label,label,Q722218
labeled sentence,label,Q722218
sentence level summary label,label,Q722218
sentence level label,label,Q722218
sentence level text,label,Q722218
language model output,language model,Q3621696
language model response,language model,Q3621696
word sense,word sense,Q1570700
word sense disambiguation sentence,word sense,Q1570700
word sense disambiguation,word sense,Q1570700
source sentence,Source,Q643572
original sentence,Source,Q643572
language model evaluation,language model,Q3621696
language modeling text,language model,Q3621696
language model probe,language model,Q3621696
language modeling,language model,Q3621696
language model,language model,Q3621696
context sentence,context,Q196626
word in context,context,Q196626
word context,context,Q196626
spoken sentence,dialogue,Q131395
dialogue sentence,dialogue,Q131395
conversational sentence,dialogue,Q131395
newspaper sentence,newspaper,Q11032
news sentence,newspaper,Q11032
journalistic sentence,newspaper,Q11032
review sentence,review,Q265158
customer review sentence,review,Q265158
informal sentence,informal,Q77768943
formal sentence,informal,Q77768943
named entity sentence,named entity,Q25047676
relation classification sentence,named entity,Q25047676
entity relation sentence,named entity,Q25047676
bangla sentence,Bangla,Q9610
hindi sentence,Bangla,Q9610
banglish sentence,Bangla,Q9610
document,document,Q49848
document feature,document,Q49848
document title,document,Q49848
document field,document,Q49848
label,label,Q722218
identity label,label,Q722218
person identity label,label,Q722218
numeric id label,label,Q722218
id label,label,Q722218
semantic segmentation label,semantic segmentation,Q120970636
segmentation label,semantic segmentation,Q120970636
material segmentation label,semantic segmentation,Q120970636
instance segmentation label,semantic segmentation,Q120970636
faz segmentation label,semantic segmentation,Q120970636
building segmentation label,semantic segmentation,Q120970636
segment level label,semantic segmentation,Q120970636
classification label,classification,Q13582682
binary label,classification,Q13582682
binary classification label,classification,Q13582682
multi class classification label,classification,Q13582682
entry classification label,classification,Q13582682
descriptive label,classification,Q13582682
emotion label,Emotion,Q5373749
affective state label,Emotion,Q5373749
emotional label,Emotion,Q5373749
sentiment label,sentiment,Q7451247
entity level sentiment label,sentiment,Q7451247
action label,Action,Q2634111
action class label,Action,Q2634111
atomic action label,Action,Q2634111
action sequence label,Action,Q2634111
action frame label,Action,Q2634111
sequence label,Action,Q2634111
action level label,Action,Q2634111
node label,Node,Q105180965
node classification label,Node,Q105180965
activity label,activity,Q1914636
intent label,activity,Q1914636
category label,category,Q719395
material category label,category,Q719395
ground truth label,ground truth,Q370766
pedestrian ground truth label,ground truth,Q370766
source level ground truth label,ground truth,Q370766
attribute label,attribute,Q2722260
fine grained attribute label,attribute,Q2722260
art attribute label,attribute,Q2722260
sensitive attribute label,attribute,Q2722260
attribute based label,attribute,Q2722260
soft attribute label,attribute,Q2722260
disease label,disease,Q12136
disease category label,disease,Q12136
disease classification label,disease,Q12136
pose label,Pose,Q30603704
3d pose label,Pose,Q30603704
coco pose label,Pose,Q30603704
6d object pose label,Pose,Q30603704
anomaly label,anomaly,Q567555
frame level anomaly label,anomaly,Q567555
vehicle id label,vehicle,Q42889
vehicle model label,vehicle,Q42889
vehicle label,vehicle,Q42889
vehicle body type label,vehicle,Q42889
vulnerability label,vulnerability,Q631425
defect label,vulnerability,Q631425
behavior label,behavior,Q9332
driver behavior label,behavior,Q9332
gender label,gender,Q48277
character gender label,gender,Q48277
author gender label,gender,Q48277
relation label,relation,Q930933
relationship label,relation,Q930933
age group label,Age,Q21143192
age label,Age,Q21143192
demographic label,Age,Q21143192
era label,Age,Q21143192
temporal label,Temporal,Q98889848
temporal forgery segment label,Temporal,Q98889848
temporal accident frame label,Temporal,Q98889848
temporal segments label,Temporal,Q98889848
crop label,Crop,Q37453707
crop type label,Crop,Q37453707
mask label,Crop,Q37453707
non crop label,Crop,Q37453707
style label,Style,Q37552559
photographic style label,Style,Q37552559
style classification label,Style,Q37552559
global style label,Style,Q37552559
per pixel label,pixel,Q355198
pixel level label,pixel,Q355198
per pixel segmentation label,pixel,Q355198
instance level pixel wise label,pixel,Q355198
pixel wise manual label,pixel,Q355198
expression label,expression,Q778379
function label,expression,Q778379
interaction label,Interaction,Q4641997
interaction class label,Interaction,Q4641997
graph label,Graph,Q98669280
axis label,Graph,Q98669280
relevance label,relevance,Q1074648
query specific relevance label,relevance,Q1074648
query relevance label,relevance,Q1074648
sarcasm label,sarcasm,Q191035
sarcasm perspective label,sarcasm,Q191035
sarcasm category label,sarcasm,Q191035
digit label,digit,Q34583
ambiguous digit label,digit,Q34583
integer label,digit,Q34583
diagnostic label,diagnosis,Q16644043
diagnosis label,diagnosis,Q16644043
diagnosis and management label,diagnosis,Q16644043
publisher bias label,partisanship,Q1585121
political leaning label,partisanship,Q1585121
partisanship label,partisanship,Q1585121
political bias label,partisanship,Q1585121
grade label,expertise,Q644238
expert scoring label,expertise,Q644238
expertise label,expertise,Q644238
dr grading label,expertise,Q644238
point level label,correctness,Q1648040
correctness label,correctness,Q1648040
step level correctness label,correctness,Q1648040
step level label,correctness,Q1648040
logo label,Logo,Q201436
sign word label,Logo,Q201436
sign label,Logo,Q201436
signature label,Logo,Q201436
class label,class,Q18204
entity label,class,Q18204
topic label,class,Q18204
article label,class,Q18204
training label,class,Q18204
concept label,class,Q18204
domain label,class,Q18204
taxi class label,class,Q18204
layout class label,class,Q18204
toxicity label,Toxicity label,Q7830400
pathological classification label,Toxicity label,Q7830400
lesion classification label,Toxicity label,Q7830400
escalation label,Toxicity label,Q7830400
pathology label,Toxicity label,Q7830400
severity label,Toxicity label,Q7830400
subjectivity label,subjectivity,Q1139554
truthfulness label,subjectivity,Q1139554
answerability label,subjectivity,Q1139554
polygon label,Mesh,Q37561088
surface material label,Mesh,Q37561088
waste material label,Mesh,Q37561088
3d body shape label,Mesh,Q37561088
mesh label,Mesh,Q37561088
manual label,Manual,Q37571798
command label,Manual,Q37571798
view label,Manual,Q37571798
dense label,Dense,Q2362910
noisy label,Dense,Q2362910
3d object model,object model,Q1116105
3d model of object,object model,Q1116105
3d model,object model,Q1116105
point cloud,point cloud,Q1899648
urban point cloud,point cloud,Q1899648
aerial point cloud,point cloud,Q1899648
3d mesh,Mesh,Q37561088
3d surface mesh,Mesh,Q37561088
3d object mesh,Mesh,Q37561088
3d mesh model,Mesh,Q37561088
3d pose,Pose,Q30603704
3d human pose,Pose,Q30603704
3d body pose,Pose,Q30603704
3d object,object,Q488383
3d shape,object,Q488383
3d object shape,object,Q488383
3d reconstruction,3D reconstruction,Q4464732
3d scene reconstruction,3D reconstruction,Q4464732
3d trajectory,trajectory,Q193139
3d point trajectory,trajectory,Q193139
3d patch,Patch,Q37122018
2d rgbd patch,Patch,Q37122018
2d patch,Patch,Q37122018
3d object detection,vehicle detection,Q2296025
2d vehicle detection,vehicle detection,Q2296025
3d vehicle detection,vehicle detection,Q2296025
3d axon instance segmentation,semantic segmentation,Q120970636
3d semantic segmentation,semantic segmentation,Q120970636
3d instance segmentation,semantic segmentation,Q120970636
2d instance segment,semantic segmentation,Q120970636
partial point cloud,point cloud,Q1899648
semi dense point cloud,point cloud,Q1899648
3d environment visual,virtual environment,Q55950686
3d scanned environment,virtual environment,Q55950686
3d environment interaction,virtual environment,Q55950686
3d virtual environment,virtual environment,Q55950686
3d vr sketch,virtual environment,Q55950686
tweet text,tweet,Q56119332
social media text,tweet,Q56119332
microblog text,tweet,Q56119332
blog text,tweet,Q56119332
dialogue text,dialogue,Q131395
informal text,dialogue,Q131395
formal text,dialogue,Q131395
conversational text,dialogue,Q131395
utterance text,dialogue,Q131395
monologue text,dialogue,Q131395
spoken text,dialogue,Q131395
handwritten text,handwritten text,Q130217505
chinese handwritten text,handwritten text,Q130217505
review text,review,Q265158
metrics evaluation text,review,Q265158
evaluation text,review,Q265158
parallel text,Parallel,Q33409955
segmentation text,Parallel,Q33409955
segmented text,Parallel,Q33409955
line level text,Parallel,Q33409955
fiction text,fiction,Q8253
novel text,fiction,Q8253
fictional text,fiction,Q8253
descriptive text,descriptive text,Q126368461
fact based text,descriptive text,Q126368461
metadata text,descriptive text,Q126368461
informative text,descriptive text,Q126368461
description text,descriptive text,Q126368461
informatics text,descriptive text,Q126368461
english text,English,Q1860
translated text,English,Q1860
translation text,English,Q1860
web text,Web,Q37564491
web page text,Web,Q37564491
english web text,Web,Q37564491
chinese text,Chinese,Q7850
chinese web text,Chinese,Q7850
chinese printed text,Chinese,Q7850
literary text,literary,Q6673651
literature text,literary,Q6673651
legal text,Legal text,Q62001872
legislative text,Legal text,Q62001872
legal decision text,Legal text,Q62001872
contract text,Legal text,Q62001872
court case text,Legal text,Q62001872
religious text,religious text,Q179461
bible text,religious text,Q179461
reference text,reference,Q121769
co reference text,reference,Q121769
full text,paper,Q11472
full paper text,paper,Q11472
domain specific text,domain,Q146481
it domain text,domain,Q146481
multilingual answer,answer,Q1920566
multilingual question answering,answer,Q1920566
multilingual reply,answer,Q1920566
sentiment text,sentiment,Q7451247
sentiment analysis text,sentiment,Q7451247
emotional text,sentiment,Q7451247
long text,Long,Q10786776
short text,Long,Q10786776
holistic long text,Long,Q10786776
chaotic long text,Long,Q10786776
multilingual translation,translation,Q7553
multilingual passage,translation,Q7553
multilingual query,translation,Q7553
multilingual segment,translation,Q7553
multilingual context,translation,Q7553
multilingual text transcription,translation,Q7553
multilingual labeling,translation,Q7553
narrative text,narrative,Q1318295
procedural text,narrative,Q1318295
interactive fiction text,narrative,Q1318295
controllable text,narrative,Q1318295
genre specific text,classification,Q13582682
natural language text,classification,Q13582682
classification text,classification,Q13582682
contextual text,classification,Q13582682
german text,German,Q188
french text,German,Q188
latin text,German,Q188
patient information,patient information,Q2056913
patient demographic information,patient information,Q2056913
drug information,patient information,Q2056913
medicine information,patient information,Q2056913
prescriptions information,patient information,Q2056913
hospitalization information,patient information,Q2056913
medication information,patient information,Q2056913
pathology information,patient information,Q2056913
patient treatment information,patient information,Q2056913
clinical information,patient information,Q2056913
health information,patient information,Q2056913
citation information,citation information,Q59156940
source information,citation information,Q59156940
bibliographic information,citation information,Q59156940
reference information,citation information,Q59156940
bibliographical information,citation information,Q59156940
location information,location information,Q122084497
geographical information,location information,Q122084497
landmark information,location information,Q122084497
regional information,location information,Q122084497
geotagging information,location information,Q122084497
geographic information,location information,Q122084497
land use information,location information,Q122084497
meta information,Meta,Q12796400
job meta information,Meta,Q12796400
author information,Author Information,Q96816219
writer information,Author Information,Q96816219
subject information,Subject,Q37554136
topic information,Subject,Q37554136
product information,product information,Q114566750
seller information,product information,Q114566750
brand information,product information,Q114566750
vehicle information,vehicle,Q42889
vehicle model information,vehicle,Q42889
model information,vehicle,Q42889
nutritional information,protein,Q8054
molecule information,protein,Q8054
protein information,protein,Q8054
tagging information,tagging,Q3974773
parsing information,tagging,Q3974773
heading information,tagging,Q3974773
extracted information,tagging,Q3974773
syntactic information,tagging,Q3974773
labeling information,tagging,Q3974773
text: information,tagging,Q3974773
repository information,repository,Q3133368
project information,repository,Q3133368
catalogue information,repository,Q3133368
gender information,gender,Q48277
self reported information,gender,Q48277
ground truth hand pose information,Pose,Q30603704
hand object contact information,Pose,Q30603704
positioning information,Pose,Q30603704
camera/pose information,Pose,Q30603704
setting information,Setting,Q37254967
signal information,Setting,Q37254967
parameter information,Setting,Q37254967
delay information,Setting,Q37254967
multiple choice question,multiple choice question,Q28060611
single choice question,multiple choice question,Q28060611
natural language question,natural language,Q33742
multi sentence question,natural language,Q33742
question sentence,natural language,Q33742
question answering,question answering,Q1074173
question answering matching,question answering,Q1074173
science question,Science,Q192864
scientific question,Science,Q192864
science exam question,Science,Q192864
reasoning question,reasoning,Q1156402
logical reasoning question,reasoning,Q1156402
theory question,reasoning,Q1156402
question type,Type,Q115868730
question type annotation,Type,Q115868730
annotated question,Type,Q115868730
commonsense reasoning question,commonsense reasoning,Q5153664
commonsense question,commonsense reasoning,Q5153664
programming question,programming,Q2289786
algorithmic question,programming,Q2289786
bilingual question,Multilingual,Q96716753
multilingual question,Multilingual,Q96716753
translated question,Multilingual,Q96716753
research question,research question,Q1438033
information seeking question,research question,Q1438033
advice seeking question,research question,Q1438033
consumer health question,Consumer Health,Q58261542
consumer question,Consumer Health,Q58261542
question text,text,Q234460
question body,text,Q234460
question pattern,pattern,Q2083958
question reformulation,pattern,Q2083958
ambiguous question,pattern,Q2083958
question variation,pattern,Q2083958
question,question,Q189756
exam question,question,Q189756
harmful question,question,Q189756
complex question,question,Q189756
legal question,question,Q189756
question metadata,question,Q189756
evaluation question,question,Q189756
counting question,question,Q189756
clarification question,question,Q189756
question template,question,Q189756
paraphrased question,question,Q189756
compositional question,question,Q189756
simple question,question,Q189756
absurd question,question,Q189756
logical relation question,question,Q189756
trivia question,question,Q189756
question decomposition meaning representation,question,Q189756
online quiz question,question,Q189756
question transcript,question,Q189756
entailment question,question,Q189756
rhetorical question,question,Q189756
short response question,question,Q189756
transformation question,question,Q189756
question thread,question,Q189756
comparative question,question,Q189756
disfluent question,question,Q189756
product question,question,Q189756
verification question,question,Q189756
question characteristic,question,Q189756
question id,question,Q189756
unanswerable question,question,Q189756
mcq question,question,Q189756
inference question,question,Q189756
riddle question,question,Q189756
data science question,question,Q189756
software testing question,question,Q189756
puzzle question,question,Q189756
question dpr embedding,question,Q189756
financial question,question,Q189756
true/false question,question,Q189756
scenario based question,question,Q189756
descriptive question,question,Q189756
privacy policy question,question,Q189756
regulation question,question,Q189756
metadata,metadata,Q180160
content metadata,metadata,Q180160
study metadata,metadata,Q180160
video metadata,video,Q625525
movie metadata,video,Q625525
film metadata,video,Q625525
user metadata,user,Q278368
account metadata,user,Q278368
user interaction metadata,user,Q278368
application metadata,application,Q166142
app metadata,application,Q166142
project metadata,application,Q166142
software metadata,application,Q166142
paper metadata,paper,Q11472
publication metadata,paper,Q11472
article metadata,paper,Q11472
academic metadata,paper,Q11472
email metadata,email,Q9158
message metadata,email,Q9158
repository metadata,repository,Q3133368
github repository metadata,repository,Q3133368
image metadata,image,Q478798
camera metadata,image,Q478798
photo metadata,image,Q478798
sensor metadata,Sensor,Q37453697
observation metadata,Sensor,Q37453697
participant metadata,patient,Q181600
patient metadata,patient,Q181600
clinical scores and metadata,patient,Q181600
game metadata,game,Q11410
game round metadata,game,Q11410
speaker metadata,Peaker,Q31207426
vocalization metadata,Peaker,Q31207426
music metadata,music,Q638
song metadata,music,Q638
experiment metadata,experiment,Q101965
experimental metadata,experiment,Q101965
test metadata,experiment,Q101965
chronological metadata,chronological,Q112999895
time metadata,chronological,Q112999895
event metadata,chronological,Q112999895
date metadata,chronological,Q112999895
simulation metadata,simulation,Q45045
post metadata,simulation,Q45045
book metadata,simulation,Q45045
scene metadata,simulation,Q45045
character metadata,simulation,Q45045
issue metadata,simulation,Q45045
relationship metadata,simulation,Q45045
world instance metadata,simulation,Q45045
model metadata,simulation,Q45045
textual metadata,simulation,Q45045
manipulation metadata,simulation,Q45045
per instance text metadata,simulation,Q45045
public metadata,simulation,Q45045
interactive element metadata,simulation,Q45045
taxonomy metadata,simulation,Q45045
supply chain metadata,simulation,Q45045
encryption metadata,simulation,Q45045
business metadata,simulation,Q45045
case metadata,simulation,Q45045
instance segmentation,instance,Q1664689
instance segmentation mask,instance,Q1664689
binary mask,Binary,Q4913864
2d binary mask,Binary,Q4913864
binary pixel mask,Binary,Q4913864
binary foreground/background segmentation mask,Binary,Q4913864
mask,mask,Q161524
shadow mask,mask,Q161524
hand mask,mask,Q161524
crack mask,mask,Q161524
ground truth mask,ground truth,Q370766
labeled ground truth mask,ground truth,Q370766
saliency ground truth mask,ground truth,Q370766
segmentation,segmentation,Q1423946
manual segmentation,segmentation,Q1423946
stuff segmentation,segmentation,Q1423946
change segmentation,segmentation,Q1423946
part segmentation,segmentation,Q1423946
panoptic segmentation,Panoptic segmentation,Q121747514
planar segmentation,Panoptic segmentation,Q121747514
foreground mask,foreground,Q2533752
inpainting mask,foreground,Q2533752
highlight mask,foreground,Q2533752
ignore mask,foreground,Q2533752
